,max,min,val_of_30day,max_after_30day,target,length
1356,2010.0,1270.0,1630.0,2010.0,1.23312883436,66.0
1357,1095.0,995.0,1029.0,1075.0,1.0,55.0
1358,883.0,756.0,790.0,883.0,1.0,67.0
1359,1284.0,1030.0,1202.0,1284.0,1.06821963394,68.0
1360,2740.0,2180.0,2680.0,2710.0,1.01119402985,47.0
1361,1448.0,1219.0,1394.0,1448.0,1.0,52.0
1362,4660.0,3050.0,3777.0,4660.0,1.233783426,110.0
1363,2030.0,1937.0,2016.0,2030.0,1.00694444444,34.0
1364,364.0,240.0,295.0,364.0,1.0,90.0
1365,2798.0,2391.0,2688.0,2760.0,1.0,58.0
1366,1144.0,963.0,1093.0,1117.0,1.021957914,44.0
1367,730.0,700.0,730.0,730.0,1.0,34.0
1368,4780.0,3385.0,3785.0,4780.0,1.26287978864,97.0
1369,233.0,184.0,212.0,233.0,1.09905660377,60.0
1370,704.0,641.0,662.0,671.0,1.0,39.0
1371,1688.0,1456.0,1574.0,1688.0,1.07242693774,55.0
1372,2085.0,1481.0,1813.0,2085.0,1.1500275786,77.0
1373,847.0,685.0,724.0,847.0,1.0,61.0
1374,279.0,253.0,270.0,278.0,1.0,41.0
1375,716.0,516.0,664.0,716.0,1.07831325301,58.0
1376,867.0,685.9,825.1,867.0,1.05078172343,62.0
1377,224.7,199.9,224.7,224.7,1.0,37.0
1378,1340.0,1190.0,1325.0,1340.0,1.01132075472,77.0
1379,786.0,547.0,768.0,768.0,1.0,43.0
1380,385.0,296.0,347.0,385.0,1.0,55.0
1381,1960.0,1594.0,1823.0,1960.0,1.0,53.0
1382,956.0,791.0,909.0,946.0,1.0,44.0
1383,3030.0,2660.0,2821.0,2903.0,1.0,37.0
1384,633.0,581.0,622.0,633.0,1.0,45.0
1385,1903.0,1524.0,1745.0,1903.0,1.09054441261,54.0
1386,1948.0,1565.0,1715.0,1948.0,1.13586005831,69.0
1387,2799.0,2035.0,2272.0,2799.0,1.23195422535,61.0
1388,326.0,177.0,278.0,326.0,1.0,73.0
1389,619.0,481.0,605.0,619.0,1.0,42.0
1390,1460.0,1214.0,1443.0,1460.0,1.0,54.0
1391,740.0,662.0,702.5,740.0,1.05338078292,74.0
1392,667.0,604.0,633.0,646.0,1.0,38.0
